"","roll_belt","pitch_belt","yaw_belt","total_accel_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","total_accel_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","total_accel_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
"16055",-28,60.1,-92.4,8,0.11,-0.03,-0.02,-64,-3,47,142,503,281,139,55.8,91.5,38,-0.02,-0.11,0.15,-276,128,-213,-495,450,77,65.98782226,59.87174747,58.67962737,10,0.21,0.11,-0.98,57,62,56,-481,171,294,177,-18.2,136,35,-0.35,-0.03,0.43,-217,139,223,-756,973,-250,"E"
"11949",125,-43.1,167,17,0.1,0.13,-0.13,47,44,-154,175,607,-310,4.92,-45.7,-11.9,18,-2.25,0.24,0.67,80,-107,-109,767,-82,-64,45.82276079,-29.5132223,-101.2880234,17,0.11,0,-0.16,-48,73,-140,-567,230,89,0,0,0,28,0.08,3.79,1.18,-275,41,-5,-463,-264,369,"C"
"6099",1.84,4.55,-89,2,-0.05,0.03,0.02,-8,1,13,39,572,-436,87.2,12.4,115,32,0.06,0.02,-0.08,-234,156,-137,-359,312,552,-90.53903081,-13.92732557,-64.5462875,2,0.16,-0.31,-0.1,-3,-17,-13,-492,183,271,168,24.7,-4.55,33,0.03,-3.87,-0.84,187,235,125,249,59,-283,"B"
"1490",121,-44,174,17,0.13,0.11,-0.16,46,46,-157,176,606,-297,-15.9,47.5,-89.5,20,-2.09,0.66,0.13,-168,-28,95,168,221,599,58.51376941,-20.35899559,-94.20164831,21,0.19,0.13,-0.16,-41,112,-164,-510,366,-40,0,0,0,44,1.16,-1.59,-0.13,-289,325,-2,-703,415,638,"A"
"10836",0.09,3.88,-88.2,5,0.02,0.02,0.02,-14,-2,48,44,631,-297,0,0,0,19,-1.48,0.4,0.18,36,75,-170,634,67,325,59.26567652,-48.35148825,-75.72601567,29,0.32,0.16,-0.28,-134,161,-198,-510,326,77,130,2.58,90.1,33,-0.92,2.41,-0.08,106,261,-153,-273,804,845,"C"
"9604",121,25.8,-6.36,19,-0.43,-0.05,-0.44,-38,71,-170,9,584,-362,26.1,1.02,-148,8,-0.06,-0.27,0.11,30,4,70,-374,346,501,9.100532208,35.98769387,119.8563254,9,0.21,-0.27,-0.13,31,8,82,543,-497,-36,162,35.4,174,23,-0.26,-0.02,-0.05,-141,43,-173,-685,152,514,"C"
"5721",121,26.6,-4.47,18,-0.5,-0.03,-0.41,-42,72,-161,-1,588,-360,180,-43.1,26.4,33,-3.4,1.2,0.3,316,6,57,732,84,42,-93.96283937,-15.12796157,60.71382285,9,0.42,0.67,-0.66,-14,-75,53,323,-673,-153,-143,30,-88,35,-0.35,0.85,0,-60,-229,-242,-124,-623,-13,"B"
"16164",137,-31.9,143,20,-0.11,0.27,-0.44,33,43,-187,157,604,-375,-88.1,-22,73.7,51,-1.4,0.31,0.79,35,-218,-447,232,-204,-558,47.84947545,-37.47002118,-94.19857849,17,0.05,-0.14,-0.28,-62,78,-137,-554,253,84,0,0,0,52,1.49,-3.08,-0.64,-25,510,-14,-585,739,740,"E"
"9198",1.72,7.63,-92.8,2,0.05,0.03,0,-12,4,19,10,605,-313,109,-50,-28.7,25,-3.21,0.96,-0.25,89,5,-226,690,-242,-229,44.76934617,14.48013091,109.695982,4,-0.22,0.21,0.28,6,18,37,-513,336,62,-154,31.1,-80.1,32,-0.21,2.63,0.43,-60,-180,-244,-2,-668,-87,"B"
"725",125,-43.5,177,19,0.08,0.13,-0.15,46,49,-172,205,584,-369,-137,61.5,65.8,25,0.42,-0.34,0.38,-237,-38,17,-188,243,633,47.21203988,-28.89227014,-100.4326616,19,0.19,0.05,-0.25,-52,83,-154,-563,257,31,0,0,0,12,0.31,1.89,0.48,57,98,42,643,-176,-71,"A"
"14009",6.86,3.14,-84.7,3,-0.11,0.31,1.33,8,14,-24,74,481,-537,94.1,4.39,131,33,-1.24,-0.08,0.34,-251,166,-116,-557,315,442,52.66002952,16.83261367,101.2450579,10,-0.4,0.56,0.03,16,48,81,-265,318,375,-178,12.5,97,46,-0.31,3.39,0.72,-140,396,174,-630,1190,-575,"D"
"10675",1.07,3.9,-87.7,4,0.03,-0.02,-0.02,-12,2,42,38,632,-313,0,0,0,29,2.94,-2.26,1.1,58,5,-283,683,-197,-223,54.0949477,-51.66058369,-77.62554279,29,0.37,0.18,-0.34,-141,147,-200,-535,255,126,158,-3.32,73.3,35,0.13,-0.37,0,205,193,-188,45,636,661,"C"
"4791",116,15.6,1.59,16,0.14,0.13,-0.16,-22,61,-148,29,616,-282,-39,32.2,-94.5,29,-0.37,-0.22,0.8,-272,-63,23,-309,274,610,-2.7,-19.2,137.7,4,-0.13,0.27,0.28,-7,-1,36,-495,355,-180,-48,21,-178,50,0.02,0.35,0.02,-438,-212,19,-570,-155,230,"A"
"12001",118,13.8,-1.76,18,0.06,0.11,-0.18,-16,63,-163,31,600,-334,-33,-1.9,-55.7,13,-2.68,0.67,1,-124,-21,41,405,214,488,-111.7625536,-39.7309342,20.63103395,9,0.18,0.24,-0.28,-34,-79,18,-471,391,5,-51.7,4.36,149,51,-0.72,2.38,0.1,-386,-314,-8,-385,-414,126,"C"
"2037",0.96,3.81,-88.2,3,0.13,0,0,-12,3,27,42,567,-413,72,4,106,28,-1.93,0.47,-0.56,-198,186,-27,-222,264,619,-107.1968818,-23.11335378,43.34254326,3,0.11,-0.32,0,-6,-23,11,-413,252,309,174,-13,34.5,35,-0.05,3.6,0.43,188,212,187,557,-305,48,"A"
"12533",-0.46,5.48,-88.3,5,0.03,-0.02,-0.03,-13,-3,50,47,634,-287,0,0,0,36,0.06,-0.16,0.18,-266,167,-166,-332,428,438,87.39338009,-42.41776568,-51.49354438,29,0.14,1.41,0.03,-117,218,-140,-410,436,100,133,-8.13,92.8,31,0.02,0,0.1,170,188,-172,-68,721,799,"C"
"5214",0.46,5.17,-88.1,5,-0.02,-0.02,-0.02,-17,0,48,46,629,-300,0,0,0,38,0.02,0.02,-0.03,-282,157,-194,-429,462,348,56.74111176,-50.37106341,-76.35593596,30,0.32,0.11,-0.3,-141,157,-202,-517,343,67,50.8,-56,169,40,0.24,0.03,0.33,311,123,-199,144,536,671,"A"
"2690",1.46,6.76,-93.7,3,0.1,0,-0.02,-13,3,25,1,600,-310,-139,7.96,-169,34,0,-0.02,-0.02,-287,111,-123,-372,339,512,120.7986847,21.14484186,29.0253286,5,-0.11,0.18,0.41,11,49,15,-513,356,-50,12.4,-64.1,-137,36,0.02,0.03,0.02,196,206,-213,-8,655,474,"A"
"16828",137,21.5,13.4,23,-0.32,-0.08,-1,-48,60,-211,7,539,-446,22.2,-6.28,-136,19,-2.87,1.08,-0.07,30,66,172,-144,363,554,-34.14407899,4.526478761,122.6123662,11,0.27,-0.22,0.07,5,-37,104,486,-561,-84,150,39.7,168,35,0.69,-5.25,-0.75,-87,297,-155,-699,251,445,"E"
"12551",1.19,5.24,-88,5,0.08,0,-0.02,-17,3,41,47,635,-303,0,0,0,35,-0.02,0.05,-0.02,-253,178,-156,-348,436,438,54.68184146,-51.13850901,-77.55281515,30,0.21,0.18,0.07,-144,153,-206,-535,275,94,141,-2.61,97.5,43,1.19,-3.28,-0.33,240,321,-138,-205,788,811,"C"
"14457",1.01,3.83,-87.5,4,-0.03,0,-0.02,-2,-1,38,56,626,-314,0,0,0,35,-0.14,0.16,-0.2,-256,173,-152,-290,452,427,60.13776367,-46.97048955,-76.04142231,30,-0.02,0.32,0.11,-132,165,-201,-522,311,78,142,22,116,40,-0.13,3.32,1.33,-62,351,-157,-607,623,723,"D"
"16250",-8.32,5.98,-93.4,4,-0.16,-0.02,-0.26,-14,-3,37,-12,630,-240,56.6,-15,60.3,17,2.02,-0.9,-0.15,-74,152,16,316,193,535,94.97285554,51.31567896,31.77288804,21,0.27,-1.69,-0.11,99,164,63,-77,598,79,133,9.48,102,37,0.11,-0.19,0,73,278,-218,-296,733,532,"E"
"12347",121,14.5,2.17,18,0.08,0.13,-0.16,-14,61,-165,34,595,-332,-33,-0.3,-51.5,11,1.94,-0.93,0.61,-85,-52,50,334,182,555,-107.4901385,-43.96087351,21.44322519,7,-0.11,0.39,-0.05,-30,-62,15,-469,402,-2,-46,39.3,-144,44,0.14,-0.22,0.13,-417,-96,22,-677,172,423,"C"
"12031",119,13.7,-1.39,18,0.1,0.13,-0.16,-18,64,-160,23,599,-325,-71.9,-29,28.2,30,2.28,-1.36,1.03,131,-145,-226,650,-113,-259,-100.3862071,-50.82672462,22.91090957,6,0.08,0.34,-0.03,-30,-52,14,-443,432,-7,34.2,1.97,-57.5,11,0.37,0,0.54,-19,103,-3,37,639,462,"C"
"8692",125,-43.8,168,18,0.11,0.11,-0.2,47,48,-162,170,607,-322,19.5,-51.3,-23.6,27,0.43,-0.58,0.8,159,-120,-180,720,-91,-217,55.65311046,-29.28598348,-92.48131965,17,0.18,0.08,-0.18,-47,86,-130,-551,280,53,0,0,0,42,1.04,-0.75,-0.03,-373,174,24,-640,23,509,"B"
"10010",1.39,1.79,-88.3,3,-0.06,0,-0.07,-1,3,25,31,565,-430,75.5,-23.5,76.2,20,-3.34,0.96,-0.82,-110,162,4,332,129,567,-45.20961266,-45.20961266,-90.48518739,2,0.06,0.03,-0.07,-10,-10,-18,-491,152,275,-173,18.2,67.5,40,-0.29,2.99,1.02,23,345,178,-42,619,-380,"C"
"12733",123,25.9,-4.19,20,-0.47,-0.03,-0.48,-40,70,-177,0,582,-368,120,73.5,92.4,4,-0.11,-0.1,-0.07,4,-8,42,-435,335,465,27.66301749,45.98488709,102.2638447,9,0.56,-0.14,-0.61,39,24,75,541,-504,-72,156,25.3,168,21,0.29,-1.2,-0.2,-120,46,-159,-706,254,559,"C"
"19393",139,24.1,21.6,22,-0.48,-0.03,-0.48,-48,67,-201,21,535,-434,147,31.2,119,4,-0.58,-0.1,0.44,4,-13,33,-386,383,451,-61.43617522,-5.966682154,95.26649966,10,0.05,-1.04,0.28,-6,-58,82,418,-621,-59,169,12.9,-144,25,0.58,-4.32,-1.12,-48,142,-197,-445,-366,32,"E"
"8100",115,18,-6.74,17,0.13,0.13,-0.16,-18,63,-155,10,602,-312,-33.2,-7.51,-40,10,-1.88,0.06,0.69,-36,-88,28,523,79,439,85.37265802,67.45206414,20.60398465,19,-0.02,-0.48,-0.3,116,140,38,-12,625,-82,-48.5,31.9,-162,48,-0.55,1.41,-0.07,-445,-135,33,-638,14,351,"B"
"7373",126,-43.1,165,18,0.1,0.11,-0.18,47,44,-160,161,611,-308,-23.5,-9.71,-36.2,15,-3.1,0.31,0.79,33,-101,-106,772,-86,-49,111.6382492,-1.044807929,-45.42754312,20,-0.32,0.69,0.23,-2,172,-84,-295,510,123,0,0,0,38,0.9,0.4,0.31,21,364,-57,-20,700,441,"B"
"1818",1.22,4.92,-87.7,3,0.03,0.02,0.02,-8,4,26,57,573,-430,47.1,-36.1,16.6,18,-3.16,0.16,-0.48,96,78,-122,725,-150,90,72.97276562,-33.98369095,72.97276562,1,0.13,0.18,-0.07,-2,4,4,-376,330,281,-134,13.3,-19.1,25,-0.61,2.36,0.46,143,-102,169,379,-771,85,"A"
"9208",1.8,5.8,-93.1,3,-0.05,0,0,-15,7,20,-12,603,-305,143,-42.8,-63.3,33,-2.97,1.35,-0.41,78,-33,-312,503,-322,-378,-108.1612477,-1.878230996,-48.87585362,5,-0.29,0.24,0.64,-1,-47,-25,-621,127,-45,-153,28.1,-73.4,35,0.37,0.87,0.51,5,-233,-256,95,-705,-167,"B"
"11160",-0.19,7.45,-88.2,5,0.13,0,0.02,-15,1,45,56,638,-287,0,0,0,36,-0.06,-0.08,0.08,-262,168,-161,-341,432,424,90.03822177,-45.84951299,-45.11959779,31,1.04,-0.82,-1.43,-135,239,-133,-341,467,141,139,-2.61,113,38,0.74,-1.49,0.46,119,322,-156,-276,775,746,"C"
"6256",0.96,3.07,-88.7,3,-0.05,0,0.05,-6,2,27,30,566,-424,137,-10.1,-99.3,55,1.78,-0.67,0.66,-27,-16,-541,-117,-132,-551,-48.49241019,-100.8362859,-26.19529177,6,1.03,-0.79,-0.79,-49,-27,-15,-423,188,334,178,20.5,-2.71,32,-0.45,-4.26,-0.49,187,215,141,353,-93,-183,"B"
"17229",129,8.96,54.6,16,0.11,0.14,0.3,-26,53,-148,12,622,-263,-54.6,-20.9,-10.2,14,2.39,-1.27,1.12,82,-96,-42,705,-32,151,-116.8855733,-15.66232185,-36.69416948,7,-0.03,-0.31,0.03,-10,-59,-23,-421,459,-66,-76.1,-4.84,169,56,-0.19,0.39,0.16,-431,-332,-51,-331,-492,-79,"E"
"16895",127,9.66,33.1,17,-0.05,0.16,-0.41,-2,53,-153,32,613,-277,-43.6,-20.8,-34,9,2.33,-1.06,0.84,6,-86,26,606,84,352,125.9931686,27.18691566,14.70010832,4,-0.02,-0.08,0.05,11,39,6,-360,504,-31,143,82.6,96,41,0.21,1.98,0.64,-383,109,-17,-673,381,411,"E"
"8850",0.21,2.74,-87.7,4,-0.08,-0.02,-0.08,-5,1,36,45,625,-313,0,0,0,36,2.86,-1.62,1.26,71,-7,-348,596,-208,-342,98.29491161,-27.76295059,-50.30624263,31,0.29,-0.58,-0.11,-83,252,-146,-203,540,150,154,9.57,92,50,0.55,-2.95,-0.92,239,406,-126,-126,740,811,"B"
"627",123,25.8,-3.66,20,-0.43,-0.02,-0.43,-42,70,-178,6,581,-378,-8.59,19.3,-22.1,41,1.35,-0.96,0.26,394,-43,-35,743,75,-1,5.933214398,22.72816186,133.5633255,9,0.55,-0.06,-0.28,19,5,82,546,-494,-98,-134,42.8,-114,33,0.16,0.31,0.05,-143,-145,-245,-438,-363,154,"A"
"8536",117,15.2,-3.57,17,0.21,0.11,-0.16,-17,61,-154,33,604,-319,-39.4,19.3,-78.2,24,-2.04,0.45,0.05,-224,-24,63,21,258,617,-60.12642167,-78.53981634,-43.81490306,1,0,0.16,-0.1,-10,-8,-6,-392,475,-60,-56.8,-7.18,136,52,-0.34,1.19,0.39,-368,-350,-29,-211,-592,-65,"B"
"1646",1.7,5.43,-87.8,3,-0.02,0.02,0.02,-11,1,27,64,571,-429,76.8,43.4,90.1,29,0.02,-0.02,0.02,-217,156,-110,-332,233,594,11.85790659,-61.30623892,94.29405816,38,0.21,-0.1,0,-214,44,301,-438,230,308,168,-66.3,132,36,-0.22,-0.22,0.31,-57,279,214,-455,964,-379,"A"
"14090",0.97,6.85,-93.7,3,-0.02,0,-0.03,-20,6,21,0,605,-311,56.1,-27.8,25.2,13,-2.12,0.53,-0.97,63,36,-108,733,-155,226,-141.5799585,-15.49967419,0,3,0.14,-0.21,-0.25,-5,-32,0,-604,153,4,147,49,137,33,-0.4,3.39,0.44,-127,226,-191,-671,456,592,"D"
"8075",115,18.7,-7.91,18,0.14,0.1,-0.16,-20,64,-160,14,607,-310,-37.9,26.1,-85.2,27,1.08,-0.93,1.69,-254,-58,-4,-181,252,636,60.43052063,-13.5699532,94.70579927,4,0.22,0.51,-0.16,-5,21,30,-451,412,-163,-42.7,32.2,-169,46,0.19,-0.95,-0.62,-448,-79,26,-660,91,394,"B"
"1974",1.05,4.17,-87.6,3,0.11,0.02,0.03,-12,4,28,49,567,-428,76.2,7.57,101,29,-1.61,0.74,-0.69,-200,197,-50,-212,301,591,-102.2817458,-44.09398413,30.33854175,2,0.02,-0.19,0.08,-10,-20,7,-411,251,322,-175,-16.4,1.17,29,-0.61,3.5,0.48,182,109,194,619,-631,125,"A"
"160",0.88,7.23,-93.8,4,0.03,0,0,-21,4,30,-4,610,-301,-135,13.8,-165,34,-0.02,-0.02,0,-288,111,-122,-363,338,511,101.1974236,17.43114302,-52.4777116,5,-0.16,0.5,-0.2,9,44,-26,-486,397,-65,19,-63.5,-143,36,0,-0.02,-0.02,192,203,-211,-7,655,464,"A"
"6845",1.95,6.64,-93,3,0.13,0,-0.02,-18,17,12,-1,607,-319,72.1,-4.58,68,22,2.2,-1.09,0.2,-133,169,-12,207,281,539,100.4353425,48.79161348,26.4245349,15,-0.11,-0.88,-0.07,70,126,39,-200,583,12,142,-4.32,99.1,48,0.16,-1.43,-0.26,30,427,-193,-257,749,557,"B"
"17446",129,9.77,55,17,0.06,0.16,-0.05,-10,61,-151,23,614,-277,-79.9,-17.7,30.4,34,1.27,-0.63,0.51,147,-174,-239,615,-141,-306,132.7275137,21.73733646,-10.80428526,1,0.21,-0.18,-0.18,2,9,-1,-288,545,27,-72.8,-12.7,173,56,-0.24,0.82,-0.18,-395,-375,-50,-273,-524,-37,"E"
"11909",126,-41.8,165,18,0.14,0.11,-0.16,47,48,-158,175,600,-307,14.6,-43.3,-18,12,-3,0.53,1.28,21,-89,-79,769,-63,-25,30.78539591,-23.56447325,-117.8268103,21,0.39,-0.08,-0.79,-47,61,-186,-601,192,-2,0,0,0,32,0.95,0.79,0.46,-312,-22,-12,-198,-553,87,"C"
"5378",1,5.06,-87.6,4,-0.08,-0.02,-0.07,-12,4,33,67,580,-411,85.3,46.7,93.3,30,0.19,-0.19,0.28,-221,160,-114,-368,215,590,14.01871265,-56.47281159,98.46846022,39,0.03,-0.02,0,-203,53,316,-421,238,317,-135,-66.6,76.1,31,-0.55,-0.24,0.26,-33,257,160,-422,961,-384,"A"
"11035",1.09,4.43,-87.4,4,0.02,0,0.03,-13,2,35,51,630,-305,0,0,0,28,2.92,-1.27,0.3,-179,205,-61,223,343,511,56.58604656,-50.39442239,-76.47675148,29,0.1,0.19,0.02,-136,151,-195,-539,280,76,127,6.63,120,46,1.11,-3.79,-0.2,168,400,-113,-371,786,800,"C"
"18764",156,-32.1,128,23,0.02,0.14,0.23,47,39,-219,165,515,-471,-26.4,-14.6,-48.9,20,-3.69,0.39,0.72,-165,-24,109,514,119,440,80.84707134,-18.77414271,-72.73689459,17,0.43,-0.51,-0.26,-32,124,-114,-499,345,102,0,0,0,35,1.06,-3.18,-0.38,-163,297,-16,-686,166,601,"E"
"12918",1.08,8.09,-93.8,3,0.11,0,-0.05,-21,5,25,0,601,-300,76.1,-60.3,2.39,22,-2.84,0.58,-0.38,104,12,-187,777,-230,-19,27.24263737,20.31972605,122.7772386,2,0.03,0,-0.16,3,4,14,-543,296,-21,142,44.1,119,41,0.02,-2.22,-0.69,-125,334,-189,-631,566,612,"D"
"10329",1.03,6.5,-92.9,3,-0.06,0.02,-0.03,-17,3,20,2,601,-298,75.6,10,110,31,0.27,-0.26,0.15,-273,90,-92,-300,313,549,-136.0971945,-9.328452139,18.73934092,4,0.06,0.06,-0.05,-4,-42,8,-593,180,10,160,37.7,179,32,0.02,1.36,0.15,-224,63,-207,-658,120,393,"C"
"12331",121,14,3.43,18,0.18,0.13,-0.11,-21,61,-166,30,596,-345,-49.6,-26.8,-9.38,18,0.72,-0.59,0.67,103,-111,-82,714,-12,153,-107.4901385,-43.96087351,21.44322519,7,-0.11,0.39,-0.05,-30,-62,15,-469,402,-2,11.7,45.8,-78.5,23,0.29,-2.57,-0.51,-170,141,31,-531,703,616,"C"
"12397",120,14.8,2.28,18,0.11,0.11,-0.18,-19,63,-164,27,597,-335,-29.9,-5.33,-40.4,7,-1.75,0.24,0.72,-30,-50,38,514,126,441,-107.4901385,-43.96087351,21.44322519,7,-0.11,0.39,-0.05,-30,-62,15,-469,402,-2,41,20.3,-35.5,14,-0.11,0.72,0.16,-79,107,24,-131,733,546,"C"
"132",1.4,7.64,-93.9,3,0.06,0,-0.02,-20,3,26,-5,603,-318,-133,15.5,-164,34,0.02,-0.02,-0.02,-288,109,-122,-367,333,515,13.2272917,-70.91576678,-84.40838906,37,-0.03,-0.02,0,-237,48,-272,-552,290,-73,21,-63.7,-145,36,0.02,0.02,0,192,204,-216,-6,654,476,"A"
"5398",1.24,5.61,-87.6,3,0.02,0,-0.02,-12,3,31,71,577,-411,60.4,26.6,54.9,16,0.74,0.29,-0.16,-81,129,7,123,145,673,13.47703507,-56.74115094,98.36448673,39,0.02,-0.02,-0.02,-204,51,316,-424,230,317,-133,-66.3,70.9,37,-0.13,-0.22,0.34,-57,281,214,-423,929,-316,"A"
"14332",1.29,6.65,-93.6,3,-0.05,0.02,-0.02,-16,2,27,1,603,-304,58.6,-28,63.7,14,-1.25,0.63,-0.36,-5,123,56,459,62,487,112.2339117,1.733004227,44.80727833,6,-0.02,0.14,0.1,1,52,25,-524,337,-13,-134,29.9,-110,28,0.64,1.59,0.51,-126,-162,-183,-270,-450,244,"D"
"3075",0.71,7.53,-93.2,4,0.1,0,-0.02,-26,4,31,6,603,-304,69,-25.3,34.6,13,-2.65,1.35,-0.51,-33,107,-61,614,64,336,84.76962765,38.42662497,57.67213659,3,-0.14,0.31,0.2,11,22,16,-519,344,-54,48.7,36.6,131,27,0.43,-3.12,-0.44,-111,163,-170,-693,265,602,"A"
"13198",121,25.6,-4.89,19,-0.48,-0.03,-0.43,-37,71,-172,4,587,-369,8.27,43.5,-27.6,35,-2.26,0.39,0.26,308,1,150,570,168,371,-48.05236438,0,109.0272683,11,0.48,-0.03,-0.23,0,-49,94,472,-574,-77,135,39.2,124,33,0.39,-0.29,-0.08,-147,231,-178,-662,515,521,"D"
"6016",122,25.5,-2.71,19,-0.27,-0.03,-0.38,-40,75,-163,8,589,-351,96.4,-3.72,-32.5,37,-3.5,1.72,0.8,323,-103,-118,628,-204,-337,-19.88895971,17.52315266,130.4149534,9,0.1,-0.5,0.03,15,-17,83,551,-501,-82,141,44.6,144,35,0,4.38,2.07,2,324,-102,-694,401,912,"B"
"4707",120,16.3,0.23,19,0.08,0.11,-0.15,-21,64,-169,26,595,-336,-51.7,-36.2,-0.09,22,1.27,-0.72,0.54,131,-111,-135,734,-24,-4,88.12217609,66.5196055,-15.49223199,1,-0.24,0.16,-0.05,4,5,-1,-470,387,-226,24.4,7.72,-86.7,18,0.08,-1.32,-0.56,-93,152,-4,-206,754,551,"A"
"17363",156,8.94,52.7,27,0.21,0.13,-0.28,-21,60,-252,10,447,-551,-49,15.8,-83.4,25,-1.56,0.02,0.44,-233,-64,61,-56,186,646,-75.90702093,-75.90702093,-23.1477364,2,0.18,1.12,-0.36,-15,-15,-5,-371,497,-23,49.2,33.8,-34.9,19,0.51,-1.12,0.38,-90,166,-12,-133,701,367,"E"
"10314",1.51,6.62,-93.2,3,0.05,0,0,-17,3,24,1,603,-323,75.2,6.57,108,29,0.08,-0.14,0.18,-255,100,-69,-261,321,559,-86.96819609,-13.32853841,68.31415742,3,0.03,-0.11,-0.18,-4,-23,19,-564,243,6,151,27.7,162,30,-0.03,-2.25,-0.52,-111,188,-199,-677,379,488,"C"
"2409",0.55,5.64,-88.3,5,-0.02,0,-0.02,-17,-3,44,50,641,-304,0,0,0,38,0.03,-0.02,-0.08,-280,153,-193,-424,463,353,47.94087774,-50.57724638,-83.80152389,31,0.35,0.16,-0.39,-146,139,-224,-559,291,-3,49.3,-58.7,164,33,0,-0.02,-0.07,233,101,-202,135,537,707,"A"
"7541",126,-43.5,164,18,0.1,0.11,-0.16,49,46,-161,162,605,-303,-30.2,-75.6,23.4,36,-1.43,0.18,0.56,111,-153,-296,542,-170,-427,75.50673867,-26.53180265,-74.69150334,17,-0.29,0.59,0.54,-44,115,-114,-518,312,81,0,0,0,41,0.13,1.91,-0.08,24,399,-13,-149,787,663,"B"
"8118",116,17.2,-5.05,17,0.08,0.11,-0.18,-23,63,-157,18,610,-312,-60.8,-30.3,10.3,27,-0.19,-0.56,1.05,164,-142,-147,719,-86,-82,82.07676765,33.47198722,64.01067896,7,-0.4,-0.16,0.3,22,49,40,-439,440,-111,17.6,35.6,-75.4,25,-0.34,1.46,0.39,-207,125,42,-523,715,663,"B"
"12897",1.19,6.48,-93.6,3,0.05,-0.02,-0.02,-18,3,20,0,600,-304,54.1,-13,62.2,16,0.82,-0.29,0.05,-68,136,53,297,160,565,83.77815197,23.07059025,68.0045169,2,0,-0.14,0.07,4,13,11,-528,327,-31,-179,61,180,29,-0.22,2.36,0.82,-185,122,-172,-656,109,550,"D"
"12094",120,13.9,0.4,18,0.08,0.14,-0.18,-14,61,-166,24,598,-334,-95.3,-22.5,56,42,-0.51,-0.45,0.64,100,-182,-351,427,-111,-470,-111.1840893,-42.27500145,16.7935249,7,0.11,0.18,0.02,-27,-59,11,-454,426,-2,-9.94,32,-131,36,-0.42,2.52,0.56,-339,82,45,-680,512,636,"C"
"9014",0.56,1.71,-88.5,3,-0.06,-0.02,-0.05,-6,4,28,34,576,-428,85.3,7.51,99.3,31,1.72,-0.39,-0.05,-230,190,-74,-306,332,573,35.14182991,55.94115841,88.59511504,14,-1.69,0.9,-0.16,74,48,108,-36,339,435,-173,19.3,101,42,-0.47,1.57,0.75,-32,368,187,-645,1180,-575,"B"
"1238",121,-43.7,172,17,0.18,0.11,-0.13,48,44,-157,165,612,-309,7.17,16.7,-10.3,10,2.3,-1.01,1.1,28,-86,34,577,49,414,51.86593731,-37.15496769,-90.91094905,15,0.18,-0.03,-0.2,-52,71,-113,-537,306,50,0,0,0,41,1.03,0.74,0.52,-6,401,-30,-127,766,540,"A"
"3156",1.2,7.19,-93.1,3,0,0,-0.02,-21,4,25,7,608,-303,113,-54.7,-21.9,28,1.98,-0.72,0.72,110,-5,-255,752,-181,-97,48.22106668,9.288126826,107.8191361,2,0.02,0.06,0,2,10,19,-548,302,-19,8.87,72.3,73,26,-0.42,2.84,0.03,-174,-21,-184,-564,-126,420,"A"
"5835",123,26.5,-5.82,20,-0.56,0,-0.54,-42,70,-180,-12,583,-358,106,-22.2,102,19,-3.26,1.25,0.34,31,93,161,-83,420,515,-52.79375472,11.35884749,102.8217003,8,0.4,0,0.16,9,-40,68,543,-511,-65,150,62.7,-170,21,0.85,-3.5,-0.66,-114,98,-140,-560,-152,418,"B"
"13842",-14.6,-1.47,-85.3,5,0.02,0.22,1.1,-16,-8,48,22,622,-329,84.6,-17.9,40.2,17,3.9,-1.12,0.33,-48,160,-9,569,82,382,-39.68271252,-39.68271252,-99.25155968,2,1.41,-0.34,-0.38,-6,-6,-13,-533,152,216,179,14.1,29.7,43,-0.05,-4.62,-0.57,71,370,183,188,307,-258,"D"
"18535",154,-30.2,126,24,0.29,0.1,-0.57,63,52,-217,150,529,-449,-17.9,-4.53,-55.8,15,0.13,-0.48,0.69,-97,-63,88,251,162,604,57.43822732,-29.92231768,-90.443274,18,0.19,-0.21,0.05,-51,94,-136,-511,345,52,0,0,0,51,1.06,0.82,0.66,-177,463,-31,-461,762,557,"E"
"12792",1.02,6.69,-93,2,-0.08,0.02,-0.03,-16,5,16,2,605,-313,151,-17.7,-77.1,49,-0.53,0.31,0.18,26,-93,-473,220,-295,-493,-124.8170753,-31.26604708,7.697379103,4,0.24,-0.22,-0.51,-12,-37,3,-599,177,-1,148,-0.76,108,37,0.13,0.03,0.08,91,261,-231,-236,721,485,"C"
